"Year","Category","Nominee","Won"
1945,"ACTOR IN A LEADING ROLE","Anchors Aweigh","no"
1945,"ACTOR IN A LEADING ROLE","The Lost Weekend","yes"
1945,"ACTOR IN A LEADING ROLE","The Keys of the Kingdom","no"
1945,"ACTOR IN A LEADING ROLE","A Song to Remember","no"
1945,"ACTOR IN A SUPPORTING ROLE","Spellbound","no"
1945,"ACTOR IN A SUPPORTING ROLE","The Corn Is Green","no"
1945,"ACTOR IN A SUPPORTING ROLE","A Tree Grows in Brooklyn","yes"
1945,"ACTOR IN A SUPPORTING ROLE","G. I. Joe","no"
1945,"ACTOR IN A SUPPORTING ROLE","A Medal for Benny","no"
1945,"ACTRESS IN A LEADING ROLE","The Bells of St. Mary's","no"
1945,"ACTRESS IN A LEADING ROLE","Mildred Pierce","yes"
1945,"ACTRESS IN A LEADING ROLE","The Valley of Decision","no"
1945,"ACTRESS IN A LEADING ROLE","Love Letters","no"
1945,"ACTRESS IN A LEADING ROLE","Leave Her to Heaven","no"
1945,"ACTRESS IN A SUPPORTING ROLE","Mildred Pierce","no"
1945,"ACTRESS IN A SUPPORTING ROLE","Mildred Pierce","no"
1945,"ACTRESS IN A SUPPORTING ROLE","The Picture of Dorian Gray","no"
1945,"ACTRESS IN A SUPPORTING ROLE","The Corn Is Green","no"
1945,"ACTRESS IN A SUPPORTING ROLE","National Velvet","yes"
1945,"DIRECTING","The Bells of St. Mary's","no"
1945,"DIRECTING","The Lost Weekend","yes"
1945,"DIRECTING","National Velvet","no"
1945,"DIRECTING","The Southerner","no"
1945,"DIRECTING","Spellbound","no"
1945,"FILM EDITING","The Bells of St. Mary's","no"
1945,"FILM EDITING","The Lost Weekend","no"
1945,"FILM EDITING","National Velvet","yes"
1945,"FILM EDITING","Objective; Burma!","no"
1945,"FILM EDITING","A Song to Remember","no"
1945,"BEST PICTURE","Anchors Aweigh","no"
1945,"BEST PICTURE","The Bells of St. Mary's","no"
1945,"BEST PICTURE","The Lost Weekend","yes"
